Upplýsingar úr Slysaskrá Samgöngustofu;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
DAGS;TÍMI;MEIÐSLI;STAÐSETNING;FLOKKUR;ÖKUTÆKI1;ÖKUTÆKI2;ÖKUTÆKI3;ÖKUTÆKI4;ÖKUTÆKI5;SLASAÐIR1;SLASAÐIR2;SLASAÐIR3;SLASAÐIR4;SLASAÐIR5;SLASAÐIR6
29.9.2024;00:10:00;Banaslys;Sæbraut, Súðavogur;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;37 ára Kona, Fótgangandi, Fólksbifreið, Látinn;;;;;
24.9.2024;14:11:00;Banaslys;Skagavegur, Fossá  -  Á eða við akbraut;Útafakstur og bílveltur;Fólksbifreið;;;;;34 ára Karl, Ökumaður, Fólksbifreið, Látinn;35 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;;;;
9.6.2024;20:46:00;Banaslys;Vesturlandsvegur, Hraunsnef, rétt norðan við  -  Á eða við akbraut;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;70 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;63 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;24 ára Karl, Ökumaður, Fólksbifreið, Látinn;;;
24.4.2024;13:09:00;Banaslys;Eyjafjarðarbraut eystri, Miðbraut, norðan við;Útafakstur og bílveltur;Fólksbifreið;;;;;28 ára Karl, Ökumaður, Fólksbifreið, Látinn;23 ára Kona, Farþegi í framsæti, Fólksbifreið, Látinn;;;;
7.3.2024;18:19:00;Banaslys;Heiðmerkurvegur, -  Á eða við akbraut;Útafakstur og bílveltur;Þungt bifhjól;;;;;19 ára Karl, Ökumaður, Þungt bifhjól, Látinn;;;;;
30.1.2024;18:58:00;Banaslys;Reykjanesbraut, Straumsvík, móts við  -  Á eða við akbraut;Framanákeyrsla;Vörubifreið II;Fólksbifreið;;;;33 ára Karl, Ökumaður, Fólksbifreið, Látinn;;;;;
29.1.2024;18:01:00;Banaslys;Suðurlandsvegur, Eystri Sólheimar, við;Aftanákeyrsla;Dráttarvél;Fólksbifreið;;;;53 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;39 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;40 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Alvarlega slasaður;41 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Alvarlega slasaður;65 ára Karl, Ökumaður, Dráttarvél, Látinn;
16.1.2024;09:48:00;Banaslys;Vesturlandsvegur, Hvalfjarðarvegur;Framanákeyrsla;Fólksbifreið;Vörubifreið II;Vörubifreið II;;;73 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;70 ára Karl, Ökumaður, Fólksbifreið, Látinn;48 ára Karl, Ökumaður, Vörubifreið II, Lítið slasaður;33 ára Karl, Ökumaður, Vörubifreið II, Lítið slasaður;;
12.1.2024;09:48:00;Banaslys;Suðurlandsvegur, Skaftafellsvegur ( 998 ) , vestan við  -  Á eða við akbraut;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;52 ára Karl, Farþegi í aftursæti h, Fólksbifreið, Látinn;37 ára Kona, Farþegi í framsæti, Fólksbifreið, Látinn;44 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;13 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Alvarlega slasaður;9 ára Kona, Farþegi í aftursæti m, Fólksbifreið, Alvarlega slasaður;11 ára Karl, Farþegi í aftursæti h, Fólksbifreið, Alvarlega slasaður
5.1.2024;11:35:00;Banaslys;Grindavíkurvegur, Reykjanesbraut, sunnan við  -  Á eða við akbraut;Framanákeyrsla;Sendibifreið;Vörubifreið II;;;;65 ára Karl, Ökumaður, Sendibifreið, Látinn;63 ára Kona, Farþegi í framsæti, Sendibifreið, Látinn;;;;
13.12.2023;14:35:00;Banaslys;Vesturlandsvegur, Skipanes, við;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;66 ára Kona, Ökumaður, Fólksbifreið, Látinn;17 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;18 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;
2.11.2023;08:16:00;Banaslys;Reykjanesbraut,  vesturátt;Útafakstur og bílveltur;Sendibifreið;;;;;34 ára Karl, Ökumaður, Sendibifreið, Látinn;;;;;
30.10.2023;17:10:00;Banaslys;Ásvellir, syðst á bifreiðastæði  -  Á eða við bifreiðastæði;Slys á óvörðum vegfaranda;Vörubifreið II;Reiðhjól;;;;8 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Látinn;;;;;
13.9.2023;13:23:00;Banaslys;Lækjargata, Vonarstræti;Hliðarákeyrsla;Ökutæki ekki í Ekju;Sendibifreið;;;;37 ára Karl, Ökumaður, Sendibifreið, Látinn;;;;;
17.7.2023;12:44:00;Banaslys;Snæfellsnesvegur, Hítará, skammt norðan við  -  Á eða við akbraut;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;50 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Látinn;50 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;53 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Alvarlega slasaður;52 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;47 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;12 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Lítið slasaður
13.7.2023;08:38:00;Banaslys;Þrengslavegur, Malarnámurnar, við  -  Á eða við akbraut;Útafakstur og bílveltur;Fólksbifreið;;;;;18 ára Karl, Ökumaður, Fólksbifreið, Látinn;;;;;
7.7.2023;18:04:00;Banaslys;Laugarvatnsvegur, Stangalækur, sunnan við  -  Á eða við akbraut;Útafakstur og bílveltur;Þungt bifhjól;;;;;46 ára Karl, Ökumaður, Þungt bifhjól, Látinn;;;;;
11.4.2023;20:16:00;Banaslys;Nausthamarsbryggja, norðan við;Annað;Fólksbifreið;;;;;81 ára Karl, Ökumaður, Fólksbifreið, Látinn;;;;;
10.12.2022;00:33:00;Banaslys;Höfðabakki, Árbæjarsafn  -  Á eða við akbraut;Slys á óvörðum vegfaranda;Fólksbifreið;Fólksbifreið;;;;48 ára Karl, Fótgangandi, Fólksbifreið, Látinn;;;;;
19.11.2022;20:02:00;Banaslys;Barónsstígur, Grettisgata, Við;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;Hópbifreið II;;;;26 ára Karl, Ökumaður reiðhjóls, Ökutæki ekki í Ekju, Látinn;;;;;
9.8.2022;10:41:00;Banaslys;Strandgata, Hofsbót,;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;74 ára Karl, Fótgangandi, Fólksbifreið, Látinn;;;;;
22.7.2022;19:19:00;Banaslys;Akrafjallsvegur  -  Vestri- Reynir móts við;Útafakstur og bílveltur;Fólksbifreið;;;;;49 ára Karl, Ökumaður, Fólksbifreið, Látinn;;;;;
8.7.2022;02:55:00;Banaslys;Meðallandsvegur  -  Þykkvibær, vestan við.;Útafakstur og bílveltur;Fólksbifreið;;;;;21 ára Karl, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;26 ára Karl, Farþegi í aftursæti v, Fólksbifreið, Alvarlega slasaður;20 ára Kona, Farþegi í aftursæti m, Fólksbifreið, Látinn;;;
21.6.2022;12:45:00;Banaslys;Víkurland hjá Gleðivík;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;;;;;65 ára Karl, Fótgangandi, Ökutæki ekki í Ekju, Látinn;;;;;
16.6.2022;15:50:00;Banaslys;Suðurlandsvegur, Kúðafljót, rétt vestan  -  Á eða við akbraut;Framanákeyrsla;Sendibifreið;Fólksbifreið;;;;64 ára Karl, Ökumaður, Fólksbifreið, Látinn;63 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;;;;
4.2.2022;00:40:00;Banaslys;Suðurlandsvegur, Hvoll, þar við;Útafakstur og bílveltur;Vörubifreið II;;;;;65 ára Karl, Farþegi í aftursæti m, Vörubifreið II, Látinn;;;;;
2.2.2022;14:03:00;Banaslys;Laugar, Austurhlíðarvegur 846.  Framhaldsskólinn móts við.;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;19 ára Karl, Fótgangandi, Fólksbifreið, Látinn;;;;;
20.12.2021;17:38:00;Banaslys;Suðurlandsvegur, Þingborg, austan við  -  Á eða við akbraut;Framanákeyrsla;Fólksbifreið;Fólksbifreið;Fólksbifreið;Vörubifreið I;;17 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;89 ára Karl, Ökumaður, Fólksbifreið, Látinn;78 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;;;
25.11.2021;08:32:00;Banaslys;Gatnamót Skeiðarvogs og Gnoðarvogs;Slys á óvörðum vegfaranda;Hópbifreið II;;;;;65 ára Kona, Fótgangandi, Hópbifreið II, Látinn;;;;;
